Name,Table,BeginTime,EndTime,Duration,Bounce,Journey
butLeft,table,04/22/2015 16:25:09,04/22/2015 16:25:11,2,0,START
cat,table,04/22/2015 16:25:11,04/22/2015 16:25:15,4,0,
dog,table,04/22/2015 16:25:15,04/22/2015 16:25:21,5,0,
horse,table,04/22/2015 16:25:21,04/22/2015 16:25:26,5,0,END
butLeft,table,04/22/2015 16:25:50,04/22/2015 16:25:55,5,0,START
cat,table,04/22/2015 16:25:55,04/22/2015 16:26:00,4,0,
dog,table,04/22/2015 16:26:00,04/22/2015 16:26:04,4,0,
horse,table,04/22/2015 16:26:04,04/22/2015 16:26:09,4,0,END
butLeft,table,04/22/2015 16:26:36,04/22/2015 16:26:40,3,0,START
cat,table,04/22/2015 16:26:40,04/22/2015 16:26:46,5,1,END
