Name,Table,BeginTime,EndTime,Duration,Bounce,Journey
butLeft,table,04/20/2015 16:05:57,04/20/2015 16:05:58,1,0,START
cat,table,04/20/2015 16:05:58,04/20/2015 16:05:59,1,0,
dog,table,04/20/2015 16:05:59,04/20/2015 16:06:00,1,0,END
butLeft,table,04/20/2015 16:07:54,04/20/2015 16:07:55,0,0,START
cat,table,04/20/2015 16:07:55,04/20/2015 16:07:56,0,0,
dog,table,04/20/2015 16:07:56,04/20/2015 16:07:57,0,0,END
butLeft,table,04/20/2015 16:08:32,04/20/2015 16:08:33,1,0,START
cat,table,04/20/2015 16:08:33,04/20/2015 16:08:34,0,0,
dog,table,04/20/2015 16:08:34,04/20/2015 16:08:37,2,0,END
butLeft,table,04/20/2015 16:12:21,04/20/2015 16:12:24,2,0,START
horse,table,04/20/2015 16:12:24,04/20/2015 16:12:30,6,1,END
butLeft,table,04/20/2015 16:14:14,04/20/2015 16:14:19,4,0,START
horse,table,04/20/2015 16:14:19,04/20/2015 16:14:25,6,1,END
butLeft,table,04/20/2015 16:14:33,04/20/2015 16:14:35,1,0,START
dog,table,04/20/2015 16:14:35,04/20/2015 16:14:35,0,0,
cat,table,04/20/2015 16:14:35,04/20/2015 16:14:36,0,0,
horse,table,04/20/2015 16:14:36,04/20/2015 16:14:42,6,1,END
butLeft,table,04/20/2015 16:14:50,04/20/2015 16:14:52,1,0,START
cat,table,04/20/2015 16:14:52,04/20/2015 16:14:58,6,1,END
butLeft,table,04/20/2015 16:15:04,04/20/2015 16:15:06,2,0,START
dog,table,04/20/2015 16:15:06,04/20/2015 16:15:14,8,1,END
butLeft,table,04/20/2015 16:16:48,04/20/2015 16:16:48,0,0,START
cat,table,04/20/2015 16:16:48,04/20/2015 16:16:49,0,0,
dog,table,04/20/2015 16:16:49,04/20/2015 16:16:50,0,0,
horse,table,04/20/2015 16:16:50,04/20/2015 16:16:56,6,1,END
butLeft,table,04/20/2015 16:27:22,04/20/2015 16:27:23,1,0,START
dog,table,04/20/2015 16:27:23,04/20/2015 16:27:23,0,0,
dog,table,04/20/2015 16:27:23,04/20/2015 16:27:23,0,0,
dog,table,04/20/2015 16:27:23,04/20/2015 16:27:23,0,0,
dog,table,04/20/2015 16:27:23,04/20/2015 16:27:23,0,0,
dog,table,04/20/2015 16:27:23,04/20/2015 16:27:23,0,0,
dog,table,04/20/2015 16:27:23,04/20/2015 16:27:24,0,0,
dog,table,04/20/2015 16:27:24,04/20/2015 16:27:24,0,0,
dog,table,04/20/2015 16:27:24,04/20/2015 16:27:24,0,0,
dog,table,04/20/2015 16:27:24,04/20/2015 16:27:24,0,0,
dog,table,04/20/2015 16:27:24,04/20/2015 16:27:24,0,0,
dog,table,04/20/2015 16:27:24,04/20/2015 16:27:24,0,0,
dog,table,04/20/2015 16:27:24,04/20/2015 16:27:24,0,0,
dog,table,04/20/2015 16:27:24,04/20/2015 16:27:25,0,0,
dog,table,04/20/2015 16:27:25,04/20/2015 16:27:25,0,0,
dog,table,04/20/2015 16:27:25,04/20/2015 16:27:25,0,0,
dog,table,04/20/2015 16:27:25,04/20/2015 16:27:25,0,0,
dog,table,04/20/2015 16:27:25,04/20/2015 16:27:25,0,0,
dog,table,04/20/2015 16:27:25,04/20/2015 16:27:25,0,0,
dog,table,04/20/2015 16:27:25,04/20/2015 16:27:25,0,0,
dog,table,04/20/2015 16:27:25,04/20/2015 16:27:26,0,0,
dog,table,04/20/2015 16:27:26,04/20/2015 16:27:26,0,0,
dog,table,04/20/2015 16:27:26,04/20/2015 16:27:26,0,0,
dog,table,04/20/2015 16:27:26,04/20/2015 16:27:26,0,0,
dog,table,04/20/2015 16:27:26,04/20/2015 16:27:26,0,0,
dog,table,04/20/2015 16:27:26,04/20/2015 16:27:28,1,0,END
butLeft,table,04/22/2015 15:55:12,04/22/2015 15:55:15,2,0,START
cat,table,04/22/2015 15:55:15,04/22/2015 15:55:16,1,0,
dog,table,04/22/2015 15:55:16,04/22/2015 15:55:17,1,0,
horse,table,04/22/2015 15:55:17,04/22/2015 15:55:23,6,1,END
butLeft,table,04/22/2015 15:56:57,04/22/2015 15:56:59,1,0,START
cat,table,04/22/2015 15:56:59,04/22/2015 15:56:59,0,0,
cat,table,04/22/2015 15:56:59,04/22/2015 15:56:59,0,0,
cat,table,04/22/2015 15:56:59,04/22/2015 15:56:59,0,0,
cat,table,04/22/2015 15:56:59,04/22/2015 15:56:59,0,0,
cat,table,04/22/2015 15:56:59,04/22/2015 15:57:00,0,0,
dog,table,04/22/2015 15:57:00,04/22/2015 15:57:00,0,0,
dog,table,04/22/2015 15:57:00,04/22/2015 15:57:00,0,0,
dog,table,04/22/2015 15:57:00,04/22/2015 15:57:01,0,0,
dog,table,04/22/2015 15:57:01,04/22/2015 15:57:01,0,0,
dog,table,04/22/2015 15:57:01,04/22/2015 15:57:02,0,0,
horse,table,04/22/2015 15:57:02,04/22/2015 15:57:03,1,0,END
