Name,Table,BeginTime,EndTime,Duration
butLeft,table,04/17/2015 13:05:51,04/17/2015 13:05:54,3
cat,table,04/17/2015 13:05:54,04/17/2015 13:05:55,0
cat,table,04/17/2015 13:05:55,04/17/2015 13:05:55,0
cat,table,04/17/2015 13:05:55,04/17/2015 13:05:56,0
cat,table,04/17/2015 13:05:56,04/17/2015 13:05:56,0
cat,table,04/17/2015 13:05:56,04/17/2015 13:05:59,2
dog,table,04/17/2015 13:05:59,04/17/2015 13:05:59,0
dog,table,04/17/2015 13:05:59,04/17/2015 13:06:00,1
horse,table,04/17/2015 13:06:00,04/17/2015 13:06:01,0
horse,table,04/17/2015 13:06:01,04/17/2015 13:06:01,0
horse,table,04/17/2015 13:06:01,04/17/2015 13:06:03,1
butLeft,table,04/17/2015 13:06:59,04/17/2015 13:07:00,1
cat,table,04/17/2015 13:07:00,04/17/2015 13:07:00,0
cat,table,04/17/2015 13:07:00,04/17/2015 13:07:01,0
cat,table,04/17/2015 13:07:01,04/17/2015 13:07:01,0
cat,table,04/17/2015 13:07:01,04/17/2015 13:07:01,0
cat,table,04/17/2015 13:07:01,04/17/2015 13:07:02,1
horse,table,04/17/2015 13:07:02,04/17/2015 13:07:02,0
horse,table,04/17/2015 13:07:02,04/17/2015 13:07:03,0
dog,table,04/17/2015 13:07:03,04/17/2015 13:07:05,2
butLeft,table,04/17/2015 13:09:26,04/17/2015 13:09:27,1
cat,table,04/17/2015 13:09:27,04/17/2015 13:09:28,0
cat,table,04/17/2015 13:09:28,04/17/2015 13:09:28,0
dog,table,04/17/2015 13:09:28,04/17/2015 13:09:29,1
horse,table,04/17/2015 13:09:29,04/17/2015 13:09:30,0
butLeft,table,04/17/2015 13:11:33,04/17/2015 13:11:34,0
cat,table,04/17/2015 13:11:34,04/17/2015 13:11:34,0
cat,table,04/17/2015 13:11:34,04/17/2015 13:11:35,0
dog,table,04/17/2015 13:11:35,04/17/2015 13:11:36,0
horse,table,04/17/2015 13:11:36,04/17/2015 13:11:39,3
