Name,Table,BeginTime,EndTime,Duration
butLeft,table,04/15/2015 17:30:59,04/15/2015 17:31:03,3
cat,table,04/15/2015 17:31:03,04/15/2015 17:31:05,2
cat,table,04/15/2015 17:31:05,04/15/2015 17:31:08,2
dog,table,04/15/2015 17:31:08,04/15/2015 17:31:10,2
horse,table,04/15/2015 17:31:10,04/15/2015 17:31:13,2
dog,table,04/15/2015 17:31:13,04/15/2015 17:31:15,2
horse,table,04/15/2015 17:31:15,04/15/2015 17:31:16,1
cat,table,04/15/2015 17:31:16,04/15/2015 17:31:17,1
dog,table,04/15/2015 17:31:17,04/15/2015 17:31:19,1
horse,table,04/15/2015 17:31:19,04/15/2015 17:31:19,0
